run,category,target_raw,run_type_raw,BCM4A_Q,h_esing_Eff,comp_livetime,electr_deadtime,fan_mean,boil_corr,ps5,ps6,ps_choice,ps_factor
25083,signal,LH2,PI-SIDIS,21.533,0.9986,1.0,99.966,33.0229,1.012893,-1.0,1.0,ps6,1.0
25084,signal,LH2,PI-SIDIS,44.187,0.9985,1.0,99.9657,33.3446,1.013134,-1.0,1.0,ps6,1.0
25085,signal,LH2,PI-SIDIS,26.463,0.9985,1.0,99.9656,33.3018,1.013147,-1.0,1.0,ps6,1.0
25086,signal,LH2,PI-SIDIS,35.883,0.9984,1.0,99.9658,31.2726,1.013174,1.0,-1.0,ps5,1.0
25087,signal,LH2,PI-SIDIS,15.071,0.9987,1.0,99.9829,34.8032,1.00664,-1.0,1.0,ps6,1.0
25088,signal,LH2,PI-SIDIS,16.289,0.9984,1.0,99.9828,35.7416,1.006785,-1.0,1.0,ps6,1.0
25091,signal,LH2,PI-SIDIS,4.135,0.9989,1.0,99.9656,35.9428,1.013236,-1.0,1.0,ps6,1.0
25114,signal,LH2,PI-SIDIS,47.886,0.9985,1.0,99.9542,31.5838,1.017659,-1.0,1.0,ps6,1.0
25115,signal,LH2,PI-SIDIS,47.45,0.9984,1.0,99.9539,32.0168,1.017921,-1.0,1.0,ps6,1.0
25116,signal,LH2,PI-SIDIS,46.31,0.9985,1.0,99.9544,32.8185,1.017171,-1.0,1.0,ps6,1.0
25117,signal,LH2,PI-SIDIS,20.829,0.9984,1.0,99.9773,34.1171,1.00873,-1.0,1.0,ps6,1.0
25119,signal,LH2,PI-SIDIS,22.873,0.9985,1.0,99.9771,32.8384,1.008767,-1.0,1.0,ps6,1.0
25092,dummy,Dummy,PI-SIDIS,35.582,0.9986,1.0,99.9687,35.599,1.0,-1.0,1.0,ps6,1.0
25093,dummy,Dummy,PI-SIDIS,37.356,0.9985,1.0,99.9682,35.6573,1.0,-1.0,1.0,ps6,1.0
25120,dummy,Dummy,PI-SIDIS,36.568,0.9984,1.0,99.9681,35.1815,1.0,-1.0,1.0,ps6,1.0
25121,dummy,Dummy,PI-SIDIS,38.761,0.9985,1.0,99.9682,35.3519,1.0,-1.0,1.0,ps6,1.0
